,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Transmission Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-Line Area,kV,SAP Functional Location,LINE NO,T-LINE NAME,Fire Index Area (FIA),Location(s) of ET-Wire Down,High Fire Threat District (HFTD),YEAR,Date Out,Major Event Day,Red Flag Day,Failure during Red Flag Warning (RFW) Hours?,Auto Reclose Disabled,Duration (hr:min),Date In,Cause Category,Cause Details,Comments,Event Report,TOTL Reference Number,Customers Affected,Customers Experiencing Sustained Outage,Customer Outage Minutes,SAIFI Contribution,SAIDI Contribution,CAIDI,System Customer Count,Fault Type,Fault Location,Ignition
NORTH,60,ETL.8410,60244,ELK-GUALALA,0; 140,066/000,Tier 2 - Elevated,2016,07/06/2016 08:03,No,No,NO,No,12:49,07/06/2016 20:52,Tree,3rd party,"Relayed - 07/06/16, 0803 Elk-Gualala relayed, tested NG; SUS PtArena (900, 17,100) & Garcia (9, 7,002); fog; 0822 Elk-PtArena returned to service restoring PtArena; A-B-G fault 6.8 mi from Garcia Jct twd Gualala or 2.8 mi from Garcia Jct twd Garcia near structure 66/000 twd Gualala or structure 002/009 twd Garcia, +/- 3 mi; 0902 Garcia tap cleared due to tree in line & 2 phases of ET wire down bet poles 1/4-5; 0906 Elk-Gualala returned to service, Garcia customers to remain out for duration, back ties unavailable; 2052 Garcia tap returned to service; eventID=12297",12297,FU-2016-044,909,909,"24,102",0.0002,0.004,27,"5,481,869",NA,NA,No
SOUTH,70,ETL.8550,70113,CARUTHERS-LEMOORE NAS-CAMDEN,0,018/012,Non-HFTD,2016,07/21/2016 08:26,No,No,NO,No,6:54,07/21/2016 15:20,External Contact,Aircraft,"Relayed - 07/21/16, 0826 Henrietta-LemooreNAS relayed, tested NG & Caruthers-LemooreNAS-Camden de-energized (lines tied together due to summer setup); SUS Caruthers 70/12kV BK2 & LemooreNAS, also 70kV fell into Camden 1104; weather clear; 0834 Caruthers BK2 restored via Kearny-Caruthers; 0930 Henrietta-Lemoore NAS & section of Caruthers-LemooreNAS-Camden tested OK restoring LemooreNAS; 1038 Camden-CamdenJct to replace ET wire down at structure 18/12 from crop duster contact; 1520 Camden-CamdenJct returned to service eventID=12335",12335,FR-2016-052a,"2,086","2,086","115,476",0.0004,0.021,55,"5,481,869",NA,NA,No
SOUTH,60,ETL.7380,60133,LAURELES-OTTER,505; 507; 550; 560,00700/0-013/002,Tier 3 - Extreme,2016,07/23/2016 19:08,No,448; 510; 512; 585; 586; 588; 651; 652; 666,NO,No,429:29,08/10/2016 16:37,Disaster,Fire,"Relayed - 07/23/16, 1908 Laureles-Otter relayed, tested NG; SUS Otter (CESO=1,114; CMIN=274,775); weather clear, Soberanes fire in area; A-B fault 30 mi from Salinas (vicinity of Soberanes fire); 07/24/16, 0001 Otter customers restored via distribution back-ties; 2359 line cleared to repair ET wire down & 9 poles down when CALFIRE determines it's safe to do so; no ETOR",12390,ML-2016-021,"1,114","1,114","274,775",0.0002,0.050,247,"5,481,869",NA,NA,No
NORTH,115,ETL.3180,10248,OLEUM-NORTH TOWER-CHRISTIE,0; 530,A04/030-031,Tier 2 - Elevated,2016,07/24/2016 16:28,No,448; 510; 512; 585; 586; 588; 651; 652; 666,NO,No,15:21,07/25/2016 07:49,Equipment Failure,Conductor,"Relayed - 07/24/16, 1624 Oleum-NTower-Christie relayed, did not test; MOM N-Tower; weather clear; 2154 line cleared to repair ET wire down on Hwy 4 bet twrs A4/30-31; no report of injuries, nearby fire extinguished; 07/25/16, 0749 line returned to service after re-attaching conductor at  towers A4/30 & A4/31; NTower xfrd back to normal source",12351,PS-2016-013,"25,199",0,0,0.0000,0.000,0,"5,481,869",NA,NA,YES
SOUTH,115,ETL.1720,10088,GREEN VALLEY-LLAGAS,0; 520; 553,"009/067, 009/066 & 009/065",Tier 3 - Extreme,2016,08/12/2016 19:01,No,No,NO,No,908:00,09/19/2016 15:01,Disaster,Fire,"Relayed - 08/12/16, 1901 GV-Llagas (GreenValley-MorganHil Jct) relayed, tested NG; no customer interruption; weather clear, 'Oak' fire in area; RPTS POLES 9/67, 9/66 & 9/65 ARE GOING TO NEED TO BE REPLACED AT A MINIMUM & AT LEAST ONE PHASE DOWN ON GROUND",12416,ME-2016-008,0,0,0,0.0000,0.000,0,"5,481,869",NA,NA,No
SOUTH,70,ETL.8700,70029,GATES-TULARE LAKE,0,006/007-008,Non-HFTD,2016,08/27/2016 06:34,No,No,NO,No,9:54,08/27/2016 16:28,Equipment Failure,Conductor,"Forced - 08/27/16, 0634 Gates-TulareLake (Gates-Kettleman Hills Jct) forced out due to single phasing condition on Kettleman Hills #1-70/12kV xfmr; SUS Kettleman Hills (1,039; CMIN=89,157); weather clear; 0815 ET service restored to KettlemanHills; 1628 line returned to service normal; caused by one phase of ET wire down bet structures 006/007-008 w/ ED under build; small grass fire in area; eventID=12439",12439,FR-2016-058,"1,039","1,039","89,157",0.0002,0.016,86,"5,481,869",NA,NA,YES
SOUTH,70,ETL.9160,70076,SCHINDLER-HURON-GATES,0,011/002,Non-HFTD,2016,09/15/2016 09:48,No,No,NO,No,12:41,09/15/2016 22:29,External Contact,Car pole,"Relayed - 09/15/16, 0948 Schindler-Huron-Gates relayed, tested NG; SUS Calflax (CESO=284; CMIN=34,168); weather clear; B-G fault 11.1 mi from Schindler near 11/001, +/- 2mi; Calflax 1102 circuit has been isolated; 1128 Schindler-Calflax manually tested OK restoring Calflax; 1149 to 2229 Calflax-Huron cleared to replace ET wire down & pole 11/2 damaged by tractor (fatality); 1155 Gates-Huron returned to service",12496,INT-08533,284,284,"34,168",0.0001,0.006,120,"5,481,869",NA,NA,No
NORTH,60,ETL.7550,60151,MENDOCINO-WILLITS-FORT BRAGG,0; 140; 154,037/000-001,Tier 2 - Elevated,2016,10/01/2016 04:07,No,No,NO,No,21:57,10/02/2016 02:04,External Contact,Vandalism,"Relayed - 10/01/16, 0407 Mendo-Willits-FtBragg relayed, tested NG; no customer interruption, weather cloudy; A-C-B fault 4.67 mi from FtBragg twd Mendocino & Willits near pole 037/006, +/- 0.5 mi; 0733 Tman reports tree was saw cut & fell into our line to bring down wires & steel pole 37/0; 0728 Mendo-Willits returned to service; 1003 McGuireMillJct-FtBragg cleared to repair ET wire down at pole 37/1; 1303 Mendo sheriff on way to scene; 10/02/16, 0204 line returned to service normal after installing temp pole in place of damaged 37/1 & repaired 3 phases of ET wire down due to unauthorized tree cut; eventID=12538",12538,INT-08597,0,0,0,0.0000,0.000,0,"5,481,869",NA,NA,No
NORTH,60,ETL.7630,60160,MONTE RIO-FULTON,0; 140; 180,001/014,Non-HFTD,2016,10/05/2016 07:34,No,448; 510; 512; 585; 586; 588; 651; 652; 666,NO,No,12:45,10/05/2016 20:19,External Contact,Car pole,"Relayed - 10/05/16, 0734 MR-Fulton relayed, tested NG; on trouble MR-FtRoss & FtRoss-Gualala de-energized; MOM Gualala (CEMO=3,736); SUS Annapolis (CESO=230; CMIN=3,680), FtRoss (CESO=640; CMIN=10,240), SalmonCreek (CESO=1,543; CMIN=26,231), Monte Rio (CESO=7,017; CMIN=912,210), Wohler & Mirabel (CESO=3,954; CMIN=520,132); light rain; 0748 Gualala-FtRoss energized restoring Annapolis; 0751 FtRoss-MR returned to service restoring FtRoss & SalmonCreek; 0813 restored MonteRio from Elk; A-B fault 4.5 mi from Fulton twd MR near twr 004/004, +/- 1 mi; 0919 to 2019 Fulton-Wohler JCT to Trento JCT sect cleared to replace pole 1/14 damaged by car & repair ET wire down; 0944 Molino-Mirabel-Wohler sect returned to service restoring Mirabel & Wohler; eventID=12549",12549,INT-08622a,"17,131","13,385","1,473,493",0.0025,0.271,110,"5,481,869",NA,NA,No
NORTH,60,ETL.7560,60152,WEIMAR #1,330; 340,006/093-094,Tier 3 - Extreme,2016,10/11/2016 23:16,No,No,NO,No,7:50,10/12/2016 07:06,External Contact,Vandalism,"Relayed - 10/11/16, 2316 Weimar#1 relayed, tested NG; on the trouble FrenchMeadows-MiddleFork & MiddleFork#1 de-energized; SUS ForestHill (CESO=2,634; CMIN= 1,274,369); Oxbow, FrenchMeadows & HellHole PHs separated; weather clear; alt ET backtie out on clearance for NERC tower work; 10/12/16, 0151 Oxbow PH restored ET service to Forest Hill as isolated load; 0228 Weimar-ForestHill cleared to repair ET wire down bet poles 6/93-94; 0253 Oxbow PH tripped during load restoration causing SUS ForestHill; 0706 Weimar#1 returned to service restoring MiddleFork #1, FrenchMeadows-MiddleFork & ForestHill; 0713 Oxbow PH paralleled; 0800 FrenchMeadows PH paralleled; eventID=12560",12560,INT-08640a,"2,634","2,634","1,274,369",0.0005,0.234,484,"5,481,869",NA,NA,YES
SOUTH,70,ETL.8700,70029,GATES-TULARE LAKE,0,010/000-002,Non-HFTD,2016,10/16/2016 18:22,No,No,NO,No,44:00,10/18/2016 14:22,Equipment Failure,Structure-line,"Relayed - 10/16/16, 1822 Gates-TulareLake relayed, tested NG; SandDrag Cogen separated; MOM KettlemanHills (CEMO=1,040); SUS Chevron Pipeline Kettleman, Avenal (CESO=1,944; CMIN=94,744), SunCity (offline) & Avenal Park (offline); rain, wind; AC-G fault 2.0 mi from TL sub near ChevronJct SW-69, +/- 1.0 mi; 2144 TL-Chevron Pipeline Kettleman JCT section returned to service restoring Chevron Pipeline Kettleman; 2334 Gates-Avenal JCT returned to service restoring Avenal, SandDrag, SunCity & AvenalPark; 2335 Avenal JCT to Chevron Pipeline Kettleman JCT section cleared to repair ET wire down & poles 10/0 to 10/2; ETOR 10/17; ",12579,INT-08682a,"2,984","1,944","94,744",0.0004,0.017,49,"5,481,869",NA,NA,No
SOUTH,70,ETL.8700,70029,GATES-TULARE LAKE,0,"009/008, 010/002-003",Non-HFTD,2016,10/18/2016 14:22,No,No,NO,No,8:05,10/18/2016 22:27,Equipment Failure,Structure-line,"Relayed - 10/18/16, 1442 Gates-TulareLake relayed, tested OK during return switching; MOM Kettleman Hills (CEMO=1,040) & Chevron Pipeline Kettleman; SUS Avenal (CESO=1,944; CMIN=77,760), Avenal Park (offline), Sand Drag (offline) and Sun City (offline); 1500 Gates-KettlemanHillsJct section forced out due to report of arcing conductor on Gates side of double dead end at pole 9/8; SUS KettlemanHills (CESO=1,040; CMIN=21,840); 1519 AvenalJct-ChevronKettlemanJct section cleared; 1521 Gates-KettlemanHillsJct section energized restoring KettlemanHills; 1522 KettlemanHillsJct-AvenalJct section returned to service restoring Avenal, Avenal Park, Sand Drag & Sun City; 2227 Gates-TulareLake returned normal after crew replaced poles 10/1 & 10/2 & re-hung 2 phases of ET wire down bet poles 10/2-3",12580,INT-08682b,"2,984","1,944","77,760",0.0004,0.014,40,"5,481,869",NA,NA,No
CENTRAL,115,ETL.3820,10316,STANISLAUS-MANTECA #2,0; 320; 345,015/088-089,Tier 2 - Elevated,2016,10/23/2016 18:10,No,335; 385; 440; 445; 448; 450; 651; 652; 666,NO,No,22:58,10/24/2016 17:08,Equipment Failure,Conductor,"Relayed - 10/23/16, 1810 Stanislaus-Manteca#2 relayed, tested NG; no customer interruption; weather clear; C-G fault 35.6 mi from Manteca near 29/176 (accuracy med); report of wire down bet twr 15/88-89, small fire was started; 10/24/16, 1708 line returned to service",12595,INT-08709,0,0,0,0.0000,0.000,0,"5,481,869",NA,NA,YES
CENTRAL,60,ETL.7670,60164,NEWARK-VALLECITOS,0; 530,092/598,Non-HFTD,2016,10/29/2016 12:43,No,No,NO,No,14:47,10/30/2016 03:30,External Contact,Foreign object,"Relayed - 10/29/16, 1221 Newark-Vallecitos & Radum-Vallecitos relayed, tested OK; Radum-Vallecitos remained open ended at Vallecitos; MOM Sunol, Vallecitos & Iuka; weather cloudy; 1243 Newark-Vallecitos open ended at Vallecitos due to single phasing condition; SUS Vallecitos; 1348 Radum-Vallecitos returned to service restoring Vallecitos; B phase fault 1.20 mi from Vallecitos near structure 091/596, +/- 1.0 mi; 1520 Newark-Vallecitos forced out, ET wire down due to mylar balloon at twr 92/598; SUS Sunol (CESO=726; CMIN=104,544); 1545 all customers restored at Sunol; 1717 Vallecitos-SunolJct cleared to re-attach conductor to twr 92/598; 10/30/16, 0330 Newark-Vallecitos returned normal replacing bells & 30' of conductor at twr 92/598  ",12610,T16-015221c,726,726,"104,544",0.0001,0.019,144,"5,481,869",NA,NA,No
CENTRAL,115,ETL.3840,10448,STANISLAUS-MELONES SW STA-RIVERBANK JCT SW STA,0; 320; 345,007/040-041,Tier 2 - Elevated,2016,11/20/2016 08:11,No,No,NO,No,14:25,11/20/2016 22:36,Equipment Failure,Conductor,"Relayed - 11/20/16, 0811 Stan-MelonesSS-RiverbkJctSS relayed, tested NG; no customer interruption, but Stanislaus PH separated; rain, fog; A-B-C fault 7.5 mi from MelonesSS near 18/108, +/- 3 mi; 1011 Stanislaus PH paralleled; 1247 to 2236 MelonesSS-MelonesJct cleared to repair ET wire down across the distribution & on ground bet 7/40-41 (wire separated under the shoe)",NONE,INT-08796,0,0,0,0.0000,0.000,0,"5,481,869",NA,NA,No
NORTH,60,ETL.2060,60389,FORT BRAGG-ELK,0; 140,016/003-005,Tier 2 - Elevated,2016,12/07/2016 23:44,No,No,NO,No,22:27,12/08/2016 22:11,Tree,Tree failure,"Relayed - 12/07/16, 2344 FtBragg-Elk relayed, tested OK; Big River SVC tripped offline; MOM BigRiver (CEMO=2,572); on the trouble FtBragg-BigRiver sectionalized & tested NG; rain; A-C-G fault 7.78 mi from FtBragg twd BigRiver near pole 16/5, +/- 1 mi; 12/08/16, 0006 BigRiver SVC returned to service; 2211 line returned to service normal after replacing pole 16/4 & repairing ET wire down bet 16/3-4 caused by fallen tree",NONE,INT-08850,"2,572",0,0,0.0000,0.000,0,"5,481,869",NA,NA,No
SOUTH,115,ETL.2050,10489,KINGSBURG-WAUKENA SW STA,0,021/164-165,Non-HFTD,2016,12/24/2016 21:23,No,No,NO,No,17:51,12/25/2016 15:14,Equipment Failure,Conductor,"Relayed - 12/24/16, 2123 Kingsburg-WaukenaSS relayed, tested NG; Corcoran PV (offline) & Corcoran PV West (offline) separated; weather clear; 2350 PVs paralleled; A-C fault 11 mi from Kingsburg near 21/161, +/- 2 mi; 12/25/16, 1514 line in service, replaced NG insulators at twr 12/165 & repaired ET wire down (top phase) bet 21/164-165",NONE,INT-08892,0,0,0,0.0000,0.000,0,"5,481,869",NA,NA,No
NORTH,60,ETL.7490,60145,MAPLE CREEK-HOOPA,113; 115,"021/007, 021/008",Tier 3 - Extreme,2017,01/02/2017 08:33,No,No,NO,No,10:28,01/02/2017 19:01,Tree,Tree failure,"Relayed - 01/02/17, 0833 MC-Hoopa relayed, tested NG; snow; MC-WillowCreekJct auto tested OK; MOM WillowCreek (CEMO=2,447) & RussRanch (2); SUS Hoopa (CESO=2,046; CMIN=1,291,026); 0848 WillowCreek-Hoopa manually tested NG; MOM RussRanch & WillowCreek; 0849 MC-WillowCreek manually tested OK restoring WillowCreek & RussRanch; no ED back-ties available for Hoopa; personnel en route to MC & Hoopa, ETA 2 hrs due to road conditions & snow; B-A fault 14.1 mi from Bridgeville near pole 14/4, +/- 2 mi for 0833 fault; 0849 fault: C-G fault 20.1 mi from MC near pole 21/10, +/- 2 mi; 1040 WillowCreek-Hoopa cleared to remove tree & repair ET wire down bet poles 21/7-8; 1901 WillowCreek-Hoopa returned to service restoring Hoopa",NONE,INT-08905,"4,495","2,046","1,291,026",0.0004,0.236,631,"5,517,212",Mult,Mult,No
NORTH,60,ETL.6480,60039,COLGATE-CHALLENGE,282; 330,"006/111, 006/112",Tier 3 - Extreme,2017,01/03/2017 13:30,YES,No,NO,No,7:14,01/03/2017 20:44,Tree,Tree failure,"Forced - 01/03/17, 1330 to 2044 Colgate-Challenge (ChallengeJct -Challenge) forced out to repair 1 phase of ET wire down due to tree failure bet poles 6/111-112 which caused single phase condition to Challenge; SUS Challenge (CESO=x,xxx; CMIN=x,xxx,xxx), Challenge restored by NDCC via ED back-ties, but customers were lost due to subsequent ED trouble; 2044 ChallengeJct-Challenge returned to service restoring ET service to Challenge",NONE,T17-001640,TBD,TBD,TBD,TBD,TBD,TBD,"5,517,212",NA,NA,No
NORTH,60,ETL.6490,60040,COLGATE-GRASS VALLEY,330,"011/278, 011/279",Non-HFTD,2017,01/04/2017 00:19,No,No,NO,No,18:57,01/04/2017 19:16,Tree,Tree failure,"Relayed - 01/04/17, 0019 Colgate-GrassValley relayed, tested NG; MOM GrassValley (CEMO=2,929); snow; A-B-C fault 11.50 mi from Colgate PH near 11/279, +/- 1 mi; patrol found broken pole at 11/279 due to tree failure; 0425 to 1916 line cleared to reframe 11/278, replace NG 11/279 & repair ET wire down bet both poles",NONE,INT-08924,"2,929",0,0,0.0000,0.000,0,"5,517,212",A-B-C,11/279,No
NORTH,60,ETL.2060,60389,FORT BRAGG-ELK,0; 140,014/000-014/001; 013/000-013/001,Tier 2 - Elevated,2017,01/08/2017 08:02,YES,No,NO,No,33:01,01/09/2017 17:03,Tree,Tree failure,"Relayed - 01/08/17, 0802 FB-Elk relayed, tested NG; SUS BigRiver; rain; 0909 BigRiverJct-Elk relayed, tested OK; A-B-C fault 14.3 mi from BigRiver near 14/2, +/- 1 mi; tree in line & ED conductor wrapped in ET bet poles 20/0-1, no damage to ET wire; ET W-D bet 14/0-1 & across deep canyon 16 mi from BigRiverJct twd FtBragg; 2159 line section tested NG; more ET wire down bet 13/0-1; multiple trees down; 01/09/17, 1343 FB-BR returned to service restoring BigRiver; 1703 BRJct-Elk returned to service, returning FB-Elk to normal",NONE,INT-08990b,"2,557","2,557","2,557",0.0005,0.000,1,"5,517,212",A-B-C,014/002,No
CENTRAL,60,ETL.6979,60429,MONTE RIO-FORT ROSS,0; 140,001/000-001/001,Non-HFTD,2017,01/08/2017 11:23,YES,No,NO,No,19:25,01/09/2017 06:48,Tree,Tree failure,"Relayed - 01/08/17, 1123 MR-FtRoss relayed, tested NG; FtRoss-Gualala de-energized; MOM Gualala; SUS Annapolis, FtRoss, Salmon Creek; rain; B-C fault 7.9 mi from MR near 23/1 twd FtRoss or near 0/9 twd SC, +/- 1 mi; 1138 manual test from Gualala good restoring Annapolis; 1150 manual test from FR good restoring FR; 1153 MonteRio-Salmon Creek tested NG; 01/09/17, 0648 SC Tap returned to service restoring all customers; repaired 3 phases of ET wire down bet 1/0-1 due to failed tree; MR-FtRoss now normal",NONE,INT-08985a,TBD,TBD,TBD,TBD,TBD,TBD,"5,517,212",B-C,023/001,No
NORTH,60,ETL.6480,60039,COLGATE-CHALLENGE,282; 330,008/150-008/151,Tier 3 - Extreme,2017,01/08/2017 21:29,YES,No,NO,No,14:52,01/09/2017 12:21,Equipment Failure,Conductor,"Relayed - 01/08/17, 2129 Colgate-Challenge relayed, tested NG; SUS Challenge & Dobbins; wind, rain; 2134 Colgate-Dobbins manually tested OK restoring Dobbins; Dobbins-Challenge remains out; B-G fault 13.1 mi from ColgateSS, +/- 3 mi; 01/09/17, 1221 line normal, ET wire down replaced bet 8/150-151 restoring Challenge",NONE,INT-08991,"2,491","2,491","2,491",0.0005,0.000,1,"5,517,212",B-G,008/150,No
NORTH,115,ETL.1440,10057,DRUM-SUMMIT #1,0; 350; 354,011/130-011/131,Tier 2 - Elevated,2017,01/10/2017 11:08,YES,No,NO,No,103:59,01/14/2017 19:07,Tree,Tree failure,"Relayed - 01/10/17, 1108 Drum-Summit#1 relayed, tested NG; storm; SummitMeterSta terminal end open ended prior to relay action from previous trouble in NV Energy system; C-G fault 10.4 mi from Drum near 10/120, +/- 10 mi; 1528 cleared to repair ET wire down bet 11/130-131 due to tree failure; tree in line at 105; tree crew notified, will remove on 01/13/17; ETOR 01/17; 01/14/17, 1907 Drum-Summit Metering manually tested OK, removed tree at 20/241, 20/242; SummitMeterStn (NV Energy) switches to remain open due to ongoing trouble on NV Energy side; ETOR on its equipment 01/23",NONE,INT-09005,0,0,0,0.0000,0.000,0,"5,517,212",C-G,010/120,No
CENTRAL,115,ETL.3140,10244,OAKLAND J-GRANT,0,000/023,Non-HFTD,2017,01/10/2017 12:21,YES,No,NO,No,3:19,01/10/2017 15:40,External Contact,Car pole,"Relayed - 01/10/17, 1221 Edes 115kV bus sections D, H & I relayed, tested OK;  MOM Edes (CEMO=14,314); rain; OaklandJ-Grant relayed, tested NG at 1221 (aware time=1250), same time Edes relayed; no customer interruption (Owens Brockway now served of 12kV); ET wire down on Hwy 880; B-G evolving into 3 phase fault 0.1 mi from OwensBrockway (customer owned) near 000/023 adj to HWY 880, +/- 0.25 mi; 1526 Owens Brockway tap cleared bet Owens Jct SW-195 & Owens Brockway SW-153 to repair wire down at pole 0/23 after semi had backed into pole causing it to fall; 1540 OaklandJ-OwensJct returned to service; no ETOR for Owens Brockway 115kV tap (energized at 115kV but carries no load anyway)",NONE,INT-09016,"14,314",0,0,0.0000,0.000,0,"5,517,212",B-G,000/023,No
NORTH,60,ETL.2060,60389,FORT BRAGG-ELK,0; 140,007/001,Tier 2 - Elevated,2017,01/10/2017 14:57,YES,No,NO,No,13:28,01/11/2017 04:25,Tree,Tree failure,"Relayed - 01/10/17, 1457 FB-Elk relayed; FtBragg-BigRiver tested OK, Elk-BigRiver tested NG; BigRiver SVC tripped offline; MOM BigRiver (CEMO=2,280); storm; 1509 BigRiver SVC returned to service; A-G fault 7.6 mi from Elk near 7/4, +/- 1 mi; ET wire down at pole 7/1 due to tree contact; 01/11/17, 0425 line (Elk-BigRiver) returned to service after replacing 70' of downed conductor at pole 7/1",NONE,INT-09011,"2,280",0,0,0.0000,0.000,0,"5,517,212",A-G,007/004,No
NORTH,115,ETL.1180,10025,BUTT VALLEY-CARIBOU,285; 290,"005/039, 005/037, 005/036",Tier 2 - Elevated,2017,01/10/2017 19:28,YES,No,NO,No,93:18,01/14/2017 16:46,Tree,Tree failure,"Relayed - 01/10/17, 1928 Butt Valley-Caribou relayed, tested NG; ButtValley PH separated on the trouble; storm; relay events captured at Butt Valley PH do not provide adequate fault locating data; structure 5/39 large tree in line w/ damage to twr; structure 5/37 tree in line; structure 5/36 damage to conductor; ETOR 1/18; 01/14/17, 1646 BV-Caribou returned to service after repair of downed conductors at poles 5/39, 5/37 & 5/36",NONE,INT-08991,0,0,0,0.0000,0.000,0,"5,517,212",NA,NA,No
NORTH,230,ETL.5140,20085,MIDDLE FORK-GOLD HILL,0; 305; 330; 335; 340,009/076-009/077,Tier 3 - Extreme,2017,01/11/2017 09:02,YES,No,NO,No,154:53,01/17/2017 19:55,Tree,Tree failure,"Relayed - 01/11/17, 0902 MF-GHrelayed, tested NG; FrenchMeadows-MF & MiddleFork#1 de-energized; FrenchMeadows PH separated; SUS Ralston, MiddleFork & HellHole PHs (all offline); snow; B-G fault 0.74 mi from MF near 000/009, +/- 2 mi; 1129 MF#1 energized restoring MF PH; 1137 FM-MF energized restoring HH PH; 1229 FM PH paralleled; patrol snow cat (helicopter grounded, bad weather), hampered by mud slides; 01/17/17, 1955 MF-GH returned to service, repaired 1 phase ET wire down & static wire bet 9/76-77 due to tree in line",NONE,INT-09033a,0,0,0,0.0000,0.000,0,"5,517,212",B-G,000/009,No
CENTRAL,60,ETL.7575,60422,SNEATH LANE-PACIFICA,0; 518,005/062 & 006/064,Tier 3 - Extreme,2017,01/18/2017 15:07,YES,No,NO,No,19:41,01/19/2017 10:48,Equipment Failure,Conductor,"Relayed - 01/18/17, 1507 SneathLane-Pacifica relayed, tested NG; MOM Pacifica (CEMO=9,987); wind, rain; A-B-C fault 1.90 mi from Sneath Lane bet 006/062-063, +/- 1.0 mi; 1836 SneathLn-Pacifica cleared to repair 2 spans of ET wire down bet poles 5/62 & 6/64; 01/19/17, 1048 line returned to service",NONE,INT-09056,"9,987",0,0,0.0000,0.000,0,"5,517,212",A-B-C,006/063,No
CENTRAL,60,ETL.9460,60384,VALLEY SPRINGS #2,0; 320,025/442,Non-HFTD,2017,01/18/2017 16:41,YES,No,NO,No,8:04,01/19/2017 00:45,Tree,Tree failure,"Relayed - 01/18/17, 1641 ValleySprings#2 relayed, tested NG; SUS Pardee PH (offline); wind, rain; 1926 PardeeJct-HarneyLand cleared to repair 3 phases of ET wire down & 21kV underbuild down at pole 25/442 due to tree failure; A-G fault 21 mi from Pardee Jct (corresponds to WD at 25/442); VS-PardeeJct manually tested OK, restoring Pardee PH; 01/19/17, 0045 VS#2 normal",NONE,INT-09058,0,0,0,0.0000,0.000,0,"5,517,212",A-G,025/442,No
CENTRAL,60,ETL.7450,60140,LOCKEFORD-LODI #3,0,004/082,Non-HFTD,2017,01/18/2017 19:07,YES,No,NO,No,11:23,01/19/2017 06:30,Tree,Tree failure,"Relayed - 01/18/17, 1907 Lockeford-Lodi#3 relayed, tested NG; SUS Mettler (CESO=1,337; CMIN=526,161); wind, rain; no fault locating relays installed at Lockeford CB-22 or Lodi CB-22; 2036 Lodi-MettlerJct manually tested OK restoring Mettler; 2057 HarneyLane-LodiJct cleared to repair ET wire down at pole 4/82; 2059 Lockeford-HarneyLaneJct energized; 01/19/17, 0630 line returned to service, removed tree & re-attached conductor",NONE,INT-09068,"1,337","1,337","526,161",0.0002,0.096,394,"5,517,212",NA,NA,No
CENTRAL,60,ETL.7212,60424,SNEATH LANE-HALF MOON BAY,0; 518,002/007,Tier 3 - Extreme,2017,01/20/2017 04:00,YES,No,NO,No,34:55,01/21/2017 14:55,Equipment Failure,Structure-line,"Relayed - 01/20/17, 0400 SL-HMB relayed, tested NG; SUS Pacifica (CESO=9,866; CMIN=1,469,664) & HMB 60/12kV BK-3 (5,151; 429,377); wind, lightning & rain; B-C evolving to A-B-C fault 7.3 mi from SL near 003/009 (1.8 mi s/o SW-37 twd HMB), +/- 2 mi; 0502 manually tested NG; 1132 SL-Pacifica sect tested OK restoring Pacifica; patrol reports structure 2/7 is down; poor field conditions, rough terrain hampering repairs; 1150 Pacifica-HMB sect cleared to repair ET wire down at structure 2/7; 01/21/17, 1455 SL-HMB normal",NONE,INT-09089,"15,017","15,017","1,899,041",0.0027,0.346,126,"5,517,212",A-B-C,003/009,No
NORTH,60,ETL.6470,60038,COLGATE-ALLEGHANY,330; 350,"021/016-021/017, 012/318, 019/537, 023/656",Tier 3 - Extreme,2017,01/21/2017 05:00,YES,No,NO,No,64:43,01/23/2017 21:43,Tree,Tree failure,"Relayed - 01/21/17, 0500 Colgate-Alleghany relayed, tested NG; 0502 Colgate-PikeCity manually tested OK restoring ColumbiaHill & PikeCity (440); SUS Alleghany (CESO=1,219; CMIN=893,654); 1224 PikeCity-BuhlRanchJct manually tested OK; 1506 Colgate-BuhlRanchJct relayed, tested NG; SUS Pike City (CESO=428; CMIN=4,708) & ColumbiaHill (1,135; 12,485) (Alleghany out due to previous trouble); snow; 1510 BuhlRanchJct-Alleghany cleared to repair ET wire down center phase bet 21/16-17; 1517 Colgate-BuhlRanch manually tested OK restoring CH & PC; A-C fault 15.0 mi from Colgate PH (near PikeCity) near 15/401, +/- 1.0 mi; 01/22/17, 0534 ColgateSS-BuhlRanch relayed, tested OK; MOM PikeCity (CEMO=440) & ColumbiaHill (1,131); 0537 Colgate-PikeCity manually tested OK; B-C fault 12.2 mi from ColgatePH near pole 12/318, +/- 1.0 mi; 1136 to 1554 PlumValley-BuhlRanch cleared to remove tree from line & repair ET wire down at 19/537; 1601 BuhlRanch-Alleghany cleared to repair ET wire down (3 phases) & remove 2 trees in line at 23/656; 01/23/17, 2143 BuhlRanch-Alleghany returned to service restoring Alleghany",NONE,INT-09110b,"6,754","6,754","910,847",0.0012,0.166,135,"5,517,212",A-C,015/401,No
